sparkasse,name,since,until,position,feste_bezuege,erfolgsabhaengige_bezuege,sonstige_bezuege,gesamtverguetung,anmerkungen,state,verband
Stadtsparkasse Düsseldorf,Dr. Martin van Gemmeren,2013-01-01,2013-12-31,Mitglied,400000.0,120000.0,0.0,520000.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Arndt M. Hallmann,2014-01-01,2014-12-31,Vorsitzende(r),580888.0,38267.0,20092.0,639247.0,Bekommt noch eine Extra-Vergütung für Aufsichtsratmandat in Höhe von 46790,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Arndt M. Hallmann,2013-01-01,2013-12-31,Vorsitzende(r),567000.0,112000.0,20687.36,699687.36,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Grebenstein,Hans-Gerhard Pape,2014-01-01,2014-12-31,Mitglied,106000.0,0.0,0.0,106000.0,,Hessen,SGVHT
Stadtsparkasse Grebenstein,Hans-Gerhard Pape,2013-01-01,2013-12-31,Mitglied,96000.0,13000.0,0.0,109000.0,,Hessen,SGVHT
Stadtsparkasse Grebenstein,Horst Wanik,2014-01-01,2014-11-30,Vorsitzende(r),127000.0,0.0,0.0,127000.0,,Hessen,SGVHT
Stadtsparkasse Grebenstein,Horst Wanik,2013-01-01,2013-12-31,Vorsitzende(r),135000.0,16000.0,0.0,151000.0,,Hessen,SGVHT
Stadtsparkasse Grebenstein,Björn Grommek,2014-11-01,2014-12-31,Vorsitzende(r),21000.0,0.0,0.0,21000.0,"(ab 01.12.), davor 1 Monat Mitglied",Hessen,SGVHT
Sparkasse Battenberg,Reinhold Clemens,2013-01-01,2013-12-31,Mitglied,95000.0,12000.0,0.0,107000.0,,Hessen,SGVHT
Sparkasse Battenberg,Reinhold Clemens,2014-01-01,2014-12-31,Mitglied,98000.0,10000.0,0.0,108000.0,,Hessen,SGVHT
Sparkasse Battenberg,Gert Gläser,2013-01-01,2013-12-31,Vorsitzende(r),113000.0,17000.0,0.0,130000.0,,Hessen,SGVHT
Sparkasse Battenberg,Gert Gläser,2014-01-01,2014-12-31,Vorsitzende(r),117000.0,14000.0,0.0,131000.0,,Hessen,SGVHT
Stadtsparkasse Felsberg,Markus Heidenreich,2013-01-01,2013-12-31,Mitglied,105000.0,2000.0,0.0,107000.0,,Hessen,SGVHT
Stadtsparkasse Felsberg,Ingo Lange,2013-01-01,2013-12-31,Vorsitzende(r),144000.0,13000.0,0.0,157000.0,,Hessen,SGVHT
Stadtsparkasse Felsberg,Ingo Lange,2014-01-01,2014-12-01,Vorsitzende(r),149000.0,17000.0,0.0,166000.0,,Hessen,SGVHT
Stadtsparkasse Felsberg,Markus Heidenreich,2014-01-01,2014-12-01,Mitglied,144000.0,0.0,0.0,361000.0,,Hessen,SGVHT
Stadtsparkasse Felsberg,Herr Eull,2012-01-01,2012-06-30,Mitglied,0.0,5000.0,0.0,5000.0,,Hessen,SGVHT
Stadtsparkasse Felsberg,Richard Strack,2014-01-01,2014-12-01,Mitglied,51000.0,0.0,0.0,51000.0,,Hessen,SGVHT
Sparkasse Mülheim an der Ruhr,Helge Kipping,2014-01-01,2014-03-31,Mitglied,76552.0,29181.0,4201.0,109935.0,,Nordrhein-Westfalen,RSGV
Sparkasse Mülheim an der Ruhr,Ralf Dammeyer,2014-07-01,2014-12-31,Mitglied,146625.0,0.0,5000.0,151626.0,,Nordrhein-Westfalen,RSGV
Sparkasse Mülheim an der Ruhr,Helmut Schiffer,2013-01-01,2013-08-31,Mitglied,212954.0,16314.0,6644.0,235914.0,,Nordrhein-Westfalen,RSGV
Sparkasse Mülheim an der Ruhr,Helge Kipping,2013-01-01,2013-12-31,Mitglied,279659.0,13899.0,9211.0,302770.0,,Nordrhein-Westfalen,RSGV
Sparkasse Mülheim an der Ruhr,Martin Weck,2013-01-01,2013-12-31,Vorsitzende(r),334117.0,16995.0,10247.0,361360.0,,Nordrhein-Westfalen,RSGV
Sparkasse Mülheim an der Ruhr,Martin Weck,2014-01-01,2014-12-31,Vorsitzende(r),345251.0,34800.0,10900.0,391073.0,,Nordrhein-Westfalen,RSGV
Sparkasse Mülheim an der Ruhr,Frank Werner,2014-09-01,2014-12-31,Mitglied,86250.0,0.0,5780.0,92030.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Schwalmstadt,Reinhard Hooß,2013-01-01,2013-12-31,Mitglied,100000.0,13000.0,0.0,113000.0,,Hessen,SGVHT
Stadtsparkasse Schwalmstadt,Reinhard Hooß,2014-01-01,2014-12-31,Mitglied,103000.0,16000.0,0.0,119000.0,,Hessen,SGVHT
Stadtsparkasse Schwalmstadt,Wilheilm Bechtel,2013-01-01,2013-12-31,Vorsitzende(r),146000.0,19000.0,0.0,165000.0,,Hessen,SGVHT
Stadtsparkasse Schwalmstadt,Wilheilm Bechtel,2014-01-01,2014-12-31,Vorsitzende(r),150000.0,22000.0,0.0,172000.0,,Hessen,SGVHT
Stadtsparkasse Borken,Nicole Reichard,2013-01-01,2013-12-31,Mitglied,114000.0,5000.0,0.0,119000.0,,Hessen,SGVHT
Stadtsparkasse Borken,Nicole Richard,2014-01-01,2014-12-31,Mitglied,117000.0,10000.0,0.0,127000.0,,Hessen,SGVHT
Stadtsparkasse Borken,Christoph Ernst,2013-01-01,2013-12-31,Vorsitzende(r),136000.0,5000.0,0.0,141000.0,,Hessen,SGVHT
Stadtsparkasse Borken,Christoph Ernst,2014-01-01,2014-12-01,Vorsitzende(r),141000.0,10000.0,0.0,151000.0,,Hessen,SGVHT
Stadtsparkasse Schmallenberg,Marcus Arens,2014-04-01,2014-12-31,Mitglied,116000.0,0.0,13000.0,129000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Schmallenberg,Anja Deinzer,2013-01-01,2013-12-31,Mitglied,149000.0,6000.0,13000.0,168000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Schmallenberg,Peter Vogt,2013-01-01,2013-12-31,Vorsitzende(r),165000.0,7000.0,10000.0,182000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Schmallenberg,Peter Vogt,2014-01-01,2014-12-31,Vorsitzende(r),167000.0,7000.0,10000.0,184000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Schmallenberg,Anja Deinzer,2014-01-01,2014-03-31,Mitglied,38000.0,0.0,2000.0,40000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Gütersloh,Rainer Langkamp,2014-01-01,2014-04-30,Mitglied,96000.0,35000.0,4000.0,135000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Gütersloh,Rainer Langkamp,2013-01-01,2013-12-31,Mitglied,268000.0,34000.0,11000.0,313000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Gütersloh,Jörg Hoffend,2013-01-01,2013-12-31,Vorsitzende(r),325000.0,41000.0,15000.0,381000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Gütersloh,Hörg Hoffend,2014-01-01,2014-12-31,Vorsitzende(r),334000.0,43000.0,15000.0,392000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Gütersloh,Kay Klingsieck,2014-11-01,2014-12-31,Mitglied,45000.0,0.0,2000.0,47000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Haltern am See,Jutta Kuhn,2013-01-01,2013-12-31,Mitglied,113000.0,25000.0,0.0,138000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Haltern am See,Jutta Kuhn,2014-01-01,2014-12-31,Mitglied,112000.0,23000.0,5000.0,140000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Haltern am See,Helmut Kanter,2013-01-01,2013-12-31,Vorsitzende(r),152000.0,15000.0,6000.0,173000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Haltern am See,Helmut Kanter,2014-01-01,2014-12-31,Vorsitzende(r),156000.0,11000.0,8000.0,175000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Hanau,Nils Galle,2013-06-01,2013-12-31,Mitglied,139000.0,0.0,0.0,139000.0,,Hessen,SGVHT
Sparkasse Hanau,Nils Galle,2014-01-01,2014-12-31,Mitglied,245000.0,25000.0,0.0,270000.0,,Hessen,SGVHT
Sparkasse Hanau,Bernward Höving,2013-01-01,2013-12-31,Mitglied,278000.0,46000.0,0.0,324000.0,,Hessen,SGVHT
Sparkasse Hanau,Dr. Ingo Wiedemeier,2013-01-01,2013-12-31,Mitglied,293000.0,47000.0,0.0,340000.0,,Hessen,SGVHT
Sparkasse Hanau,Dr. Ingo Wiedemeier,2014-01-01,2014-12-31,Mitglied,302000.0,52000.0,0.0,354000.0,,Hessen,SGVHT
Sparkasse Hanau,Robert Restani,2013-01-01,2013-12-31,Vorsitzende(r),370000.0,60000.0,0.0,430000.0,,Hessen,SGVHT
Sparkasse Hanau,Robert Restani,2014-01-01,2014-12-31,Vorsitzende(r),378000.0,65000.0,0.0,443000.0,,Hessen,SGVHT
Stadtsparkasse München,Ralf Fleischer,2013-09-01,2013-12-31,Mitglied,142000.0,0.0,0.0,142000.0,Die Bezüge des gesamten Vorstandes betrugen im Jahr 2013 2493000 €.,Bayern,SVB
Stadtsparkasse München,Dr. Bernd Hochberger,2013-01-01,2013-12-31,Mitglied,367486.0,39514.0,0.0,407000.0,,Bayern,SVB
Stadtsparkasse München,Dr. Thomas Grützemacher,2013-01-01,2013-12-31,Mitglied,366894.0,43106.0,0.0,410000.0,,Bayern,SVB
Stadtsparkasse München,Joachim Ebener,2013-01-01,2013-12-31,Mitglied,366894.0,43106.0,0.0,410000.0,,Bayern,SVB
Stadtsparkasse München,Marlies Mirbeth,2013-01-01,2013-12-31,Mitglied,366894.0,43106.0,0.0,410000.0,,Bayern,SVB
Stadtsparkasse München,Dr. Bernd Hochberger,2014-01-01,2014-12-31,Mitglied,384926.0,51074.0,0.0,436000.0,,Bayern,SVB
Stadtsparkasse München,Dr. Thomas Grützemacher,2014-01-01,2014-12-31,Mitglied,384926.0,51074.0,0.0,436000.0,,Bayern,SVB
Stadtsparkasse München,Joachim Ebener,2014-01-01,2014-12-31,Mitglied,384926.0,51074.0,0.0,436000.0,,Bayern,SVB
Stadtsparkasse München,Marlies Mirbeth,2014-01-01,2014-12-31,Mitglied,384926.0,51074.0,0.0,436000.0,,Bayern,SVB
Stadtsparkasse München,Ralf Fleischer,2014-01-01,2014-12-31,Vorsitzende(r),437977.0,19023.0,0.0,457000.0,Die Bezüge des gesamten Vorstandes betrugen im Jahr 2014 2451000 €,Bayern,SVB
Stadtsparkasse München,Harald Strötgen,2013-01-01,2013-12-31,Vorsitzende(r),427085.0,48915.0,0.0,476000.0,,Bayern,SVB
Stadtsparkasse Blomberg/Lippe,Wolfgang Siesenop,2013-01-01,2013-12-31,Mitglied,130000.0,0.0,13000.0,143000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Blomberg/Lippe,Wolfgang Siesenop,2014-01-01,2014-12-31,Mitglied,136000.0,5000.0,13000.0,154000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Blomberg/Lippe,Knut Winkelmann,2014-01-01,2014-09-30,Vorsitzende(r),148000.0,5000.0,9000.0,162000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Blomberg/Lippe,Knut Winkelmann,2013-01-01,2013-12-31,Vorsitzende(r),191000.0,0.0,8000.0,199000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Blomberg/Lippe,Kerstin Jöntge,2014-10-01,2014-12-31,Vorsitzende(r),40000.0,0.0,4000.0,44000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Ennepetal-Breckerfeld,Oliver Teske,2013-01-01,2013-06-06,Vorsitzende(r),129000.0,0.0,16100.0,145100.0,,Nordrhein-Westfalen,SVWL
Sparkasse Ennepetal-Breckerfeld,Uwe Volkmer,2014-01-01,2014-12-31,Mitglied,160600.0,1900.0,5100.0,167600.0,,Nordrhein-Westfalen,SVWL
Sparkasse Ennepetal-Breckerfeld,Bodo Bongen,2013-01-01,2013-12-31,Vorsitzende(r),207800.0,0.0,9700000.0,217500.0,"Vorsitzender ab 07.06.2013, Mitglied bis 06.06.2013",Nordrhein-Westfalen,SVWL
Sparkasse Ennepetal-Breckerfeld,Bodo Bongen,2014-01-01,2014-12-31,Vorsitzende(r),220800.0,6400.0,9400.0,236600.0,,Nordrhein-Westfalen,SVWL
Sparkasse Ennepetal-Breckerfeld,Uwe Volkmer,2013-08-01,2013-12-31,Mitglied,62300.0,0.0,2400.0,64700.0,,Nordrhein-Westfalen,SVWL
Sparkasse Gießen,Wolfgang Bergenthum,2013-01-01,2013-04-30,Vorsitzende(r),105000.0,43000.0,0.0,148000.0,,Hessen,SGVHT
Sparkasse Gießen,Wolfgang Keil,2013-01-01,2013-12-31,Mitglied,215000.0,26000.0,0.0,241000.0,,Hessen,SGVHT
Sparkasse Gießen,Wolfgang Keil,2014-01-01,2014-12-31,Mitglied,222000.0,35000.0,0.0,257000.0,,Hessen,SGVHT
Sparkasse Gießen,Peter Wolf,2013-01-01,2013-12-31,Vorsitzende(r),256000.0,33000.0,0.0,289000.0,Vom 1.1.2013 bis 31.8.2013 war Peter Wolf normales Mitglied.,Hessen,SGVHT
Sparkasse Gießen,Peter Wolf,2014-01-01,2014-12-31,Vorsitzende(r),288000.0,47000.0,0.0,335000.0,,Hessen,SGVHT
Sparkasse Gießen,Ilona Roth,2014-07-01,2014-12-31,Mitglied,94000.0,0.0,0.0,94000.0,,Hessen,SGVHT
Stadtsparkasse Freudenberg,Ulrich Kaßburg,2013-01-01,2013-12-31,Mitglied,149000.0,4000.0,5000.0,158000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Freudenberg,Ulrich Kaßburg,2014-01-01,2014-12-31,Mitglied,177000.0,4000.0,5000.0,186000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Freudenberg,Martin Lucke,2013-01-01,2013-12-31,Vorsitzende(r),201000.0,4000.0,5000.0,210000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Freudenberg,Martin Lucke,2014-01-01,2014-12-31,Vorsitzende(r),203000.0,4000.0,5000.0,212000.0,,Nordrhein-Westfalen,SVWL
Taunus Sparkasse,Axel Warnecke,2014-01-01,2014-05-31,Mitglied,115000.0,48000.0,0.0,163000.0,,Hessen,SGVHT
Taunus Sparkasse,Markus Franz,2013-01-01,2013-12-31,Mitglied,223000.0,63000.0,0.0,286000.0,,Hessen,SGVHT
Taunus Sparkasse,Markus Franz,2014-01-01,2014-12-31,Mitglied,252000.0,40000.0,0.0,292000.0,,Hessen,SGVHT
Taunus Sparkasse,Axel Warnecke,2013-01-01,2013-12-31,Mitglied,269000.0,69000.0,0.0,338000.0,,Hessen,SGVHT
Taunus Sparkasse,Oliver Klink,2014-01-01,2014-12-31,Vorsitzende(r),441000.0,61000.0,0.0,502000.0,,Hessen,SGVHT
Taunus Sparkasse,Oliver Klink,2013-01-01,2013-12-31,Vorsitzende(r),470000.0,44000.0,0.0,514000.0,,Hessen,SGVHT
Sparkasse Geseke,Bernd Marx,2014-01-01,2014-12-31,Mitglied,135000.0,0.0,28000.0,163000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Geseke,Bernd Marx,2013-01-01,2013-12-31,Mitglied,135000.0,0.0,29000.0,164000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Geseke,Meinolf Schniedermeier,2014-01-01,2014-12-31,Vorsitzende(r),161000.0,0.0,5000.0,166000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Geseke,Meinolf Schniedermeier,2013-01-01,2013-12-31,Vorsitzende(r),161000.0,0.0,5000.0,166000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Willi Keeren,2014-01-01,2014-04-30,Mitglied,134000.0,26000.0,3000.0,163000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Armin Zimmermann,2014-05-01,2014-12-31,Mitglied,252000.0,0.0,0.0,252000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Martin Krause,2014-01-01,2014-08-30,Mitglied,255000.0,25000.0,6000.0,286000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Martin Krause,2013-01-01,2013-12-31,Mitglied,373000.0,25000.0,13000.0,411000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Dr. Peter Lucke,2013-01-01,2013-12-31,Mitglied,373000.0,25000.0,24000.0,422000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Willi Keeren,2013-01-01,2013-12-31,Mitglied,392000.0,27000.0,9000.0,428000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Dr. Peter Lucke,2014-01-01,2014-12-31,Mitglied,385000.0,25000.0,24000.0,434000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Dr. Michael Schulte,2013-01-01,2013-12-31,Vorsitzende(r),410000.0,28000.0,11000.0,449000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Vest Recklinghausen,Dr. Michael Schulte,2014-01-01,2014-12-31,Vorsitzende(r),424000.0,27000.0,11000.0,462000.0,,Nordrhein-Westfalen,SVWL
Städtische Sparkasse zu Schwelm,Michael Lindermann,2013-04-01,2013-12-31,Mitglied,163000.0,0.0,6000.0,169000.0,,Nordrhein-Westfalen,SVWL
Städtische Sparkasse zu Schwelm,Michael Lindermann,2014-01-01,2014-12-31,Mitglied,216000.0,23000.0,8.0,247000.0,,Nordrhein-Westfalen,SVWL
Städtische Sparkasse zu Schwelm,Lothar Feldmann,2013-01-01,2013-12-31,Vorsitzende(r),258000.0,21000.0,0.0,279000.0,,Nordrhein-Westfalen,SVWL
Städtische Sparkasse zu Schwelm,Lothar Feldmann,2014-01-01,2014-12-31,Vorsitzende(r),268000.0,27000.0,0.0,295000.0,,Nordrhein-Westfalen,SVWL
Städtische Sparkasse zu Schwelm,Roland Zimmer,2013-01-01,2013-03-31,Mitglied,57000.0,20000.0,10000.0,87000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Wetzlar,Klaus-Jörg Mulfinger,2013-01-01,2013-06-30,Vorsitzende(r),155000.0,15000.0,0.0,170000.0,,Hessen,SGVHT
Sparkasse Wetzlar,Stephan Hofmann,2014-01-01,2014-12-31,Mitglied,187000.0,0.0,0.0,187000.0,,Hessen,SGVHT
Sparkasse Wetzlar,Norbert Spory,2013-01-01,2013-12-31,Vorsitzende(r),262000.0,11000.0,0.0,273000.0,Vorsitzender seit 01.07. vorher Mitglied,Hessen,SGVHT
Sparkasse Wetzlar,Norbert Spory,2014-01-01,2014-12-31,Vorsitzende(r),292000.0,0.0,0.0,292000.0,,Hessen,SGVHT
Sparkasse Wetzlar,Stephan Hofmann,2013-07-01,2013-12-31,Mitglied,89000.0,5000.0,0.0,94000.0,,Hessen,SGVHT
Sparkasse Wetzlar,Dieter Berghäuser,2013-01-01,2013-05-24,Mitglied,86000.0,9000.0,0.0,95000.0,,Hessen,SGVHT
Stadtsparkasse Porta Westfalica,Peter Homeier,2013-01-01,2013-12-31,Mitglied,161600.0,5600.0,5100.0,172300.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Porta Westfalica,Peter Homeier,2014-01-01,2014-12-31,Mitglied,174000.0,6000.0,7000.0,187000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Porta Westfalica,Stefan Dwilies,2013-01-01,2013-12-31,Vorsitzende(r),185500.0,6200.0,2900.0,194600.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Porta Westfalica,Stefan Dwilies,2014-01-01,2014-12-31,Vorsitzende(r),199000.0,7000.0,6000.0,212000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Versmold,Matthias Hauke,2013-01-01,2013-12-31,Mitglied,149000.0,15000.0,10000.0,174000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Versmold,Matthias Hauke,2014-01-01,2014-12-31,Mitglied,154000.0,16000.0,9000.0,179000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Versmold,Gerold Momann,2013-01-01,2013-12-31,Vorsitzende(r),186000.0,19000.0,10000.0,215000.0,,Nordrhein-Westfalen,SVWL
Stadtsparkasse Versmold,Gerold Momann,2014-01-01,2014-12-31,Vorsitzende(r),192000.0,20000.0,9000.0,221000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Finnentrop,Dirk Atteln,2013-01-01,2013-12-31,Mitglied,171000.0,0.0,8000.0,179000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Finnentrop,Dirk Atteln,2014-01-01,2014-12-31,Mitglied,178000.0,0.0,10000.0,188000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Finnentrop,Frank Nennstiel,2013-01-01,2013-12-31,Vorsitzende(r),187000.0,0.0,11000.0,198000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Finnentrop,Frank Nennstiel,2014-01-01,2014-12-31,Vorsitzende(r),196000.0,0.0,12000.0,208000.0,,Nordrhein-Westfalen,SVWL
Sparkasse Grünberg,Silvia Linker,2013-01-01,2013-12-31,Mitglied,166000.0,15000.0,0.0,181000.0,,Hessen,SGVHT
Sparkasse Grünberg,Silvia Linker,2014-01-01,2014-12-31,Mitglied,172000.0,15000.0,0.0,187000.0,,Hessen,SGVHT
Sparkasse Grünberg,Ulrich Zinn,2013-01-01,2013-12-31,Vorsitzende(r),202000.0,18000.0,0.0,220000.0,,Hessen,SGVHT
Sparkasse Grünberg,Ulrich Zinn,2014-01-01,2014-12-31,Vorsitzende(r),208000.0,18000.0,0.0,226000.0,,Hessen,SGVHT
Stadtsparkasse Mönchengladbach,Horst Wateler,2013-01-01,2013-04-30,Vorsitzende(r),128842.0,49720.0,4671.0,183235.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Ralf Grewe,2014-03-01,2014-12-31,Mitglied,229373.0,0.0,7663.0,237037.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Sabine Sarnes,2014-01-01,2014-12-31,Mitglied,273912.0,8714.0,9762.0,292389.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Jürgen Fröhlich,2013-01-01,2013-12-31,Mitglied,265079.0,33900.0,13142.0,312121.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Helmut Wilms,2013-01-01,2013-12-31,Mitglied,324156.0,33900.0,8388.0,366445.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Antonius Bergmann,2013-01-01,2013-12-31,Mitglied,353439.0,45200.0,13720.0,412360.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Helmut Wilms,2014-01-01,2014-12-31,Mitglied,375387.0,46475.0,11132.0,432995.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Harmut Wnuck,2013-01-01,2013-12-31,Vorsitzende(r),377070.0,45200.0,11429.0,433700.0,"Vorsitzender ab dem 01.05.2013, vorher nur Mitglied).",Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Antonius Bergmann,2014-01-01,2014-12-31,Mitglied,375387.0,46475.0,13719.0,435582.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Mönchengladbach,Harmut Wnuck,2014-01-01,2014-12-31,Vorsitzende(r),412926.0,51112.0,10866.0,474915.0,,Nordrhein-Westfalen,RSGV
